epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32685,1.38723,4.61318,1.08444,0,0,0,0,1.56797,4.4732,1.01418,0.0955,0.0005,0.0005
2,7.29996,1.07589,4.5186,0.96506,0,0,0,0,1.24881,4.34156,0.93517,0.0900782,0.00107822,0.00107822
3,10.0345,0.97589,4.2848,0.932,0,0,0,0,0.93629,4.28582,0.8864,0.0846327,0.00163268,0.00163268
4,12.6916,0.92614,3.9129,0.9033,0.00025,0.02778,0.00016,5e-05,0.85402,4.23052,0.8723,0.0791634,0.00216338,0.00216338
5,15.7996,0.92047,3.48768,0.8893,0,0,0,0,0.80479,4.09137,0.86704,0.0736703,0.00267032,0.00267032
6,19.3233,1.0046,3.00135,0.88817,0.02063,0.15432,0.13766,0.10679,0.8567,3.80865,0.86505,0.0681535,0.0031535,0.0031535
7,22.9288,1.06185,2.79768,0.88176,0.01636,0.16667,0.15443,0.12504,0.8321,3.50157,0.87307,0.0626129,0.00361292,0.00361292
8,26.4646,1.0611,2.46087,0.8897,0.03956,0.44444,0.21873,0.14847,0.95338,3.42868,0.88587,0.0570486,0.00404858,0.00404858
9,29.7769,1.00872,2.27287,0.90013,0.03525,0.48148,0.22969,0.16688,0.79119,3.29112,0.85655,0.0514605,0.00446048,0.00446048
10,33.2357,1.08139,2.23339,0.89168,0.03684,0.92593,0.4582,0.34698,0.94274,3.00967,0.88248,0.0458486,0.00484862,0.00484862
11,37.0059,1.12894,2.08201,0.92142,0.13112,0.89815,0.50581,0.36492,0.93745,2.81237,0.89369,0.040213,0.005213,0.005213
12,40.9387,1.05362,1.94405,0.89191,0.97427,0.28645,0.55858,0.42379,0.90625,2.57899,0.88061,0.0345536,0.00555362,0.00555362
13,45.5599,1.19867,1.86723,0.94513,0.64703,0.33622,0.61244,0.46332,0.98915,2.3764,0.90801,0.0288705,0.00587048,0.00587048
14,49.6107,1.09044,1.83339,0.91124,0.73249,0.55578,0.7104,0.56519,0.78487,2.3853,0.85981,0.0231636,0.00616358,0.00616358
15,52.3224,0.98072,1.72567,0.88251,0.73249,0.55578,0.7104,0.56519,0.78487,2.3853,0.85981,0.0174329,0.00643292,0.00643292
16,56.0696,1.05912,1.77991,0.90773,0.71616,0.60802,0.7627,0.59747,0.90742,2.11139,0.89556,0.0116785,0.0066785,0.0066785
17,59.9691,1.22628,1.87777,0.97136,0.73708,0.57924,0.86534,0.63515,0.95796,2.23395,0.90624,0.006832,0.006832,0.006832
18,64.0604,1.09022,1.62836,0.92803,0.83908,0.6237,0.8944,0.72966,0.81228,1.89705,0.88638,0.006634,0.006634,0.006634
19,67.1613,1.1293,1.55541,0.90767,0.83908,0.6237,0.8944,0.72966,0.81228,1.89705,0.88638,0.006436,0.006436,0.006436
20,70.8134,1.04251,1.49078,0.9398,0.8251,0.65307,0.93078,0.75423,0.83155,1.84312,0.88749,0.006238,0.006238,0.006238
