epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,810.539,0.54163,0.45973,0.82141,0.98042,0.98148,0.97709,0.89717,0.45632,0.43789,0.83996,0.0009415,0.0009415,0.0009415
185,814.922,0.54661,0.47516,0.83308,0.9825,0.98148,0.97711,0.8925,0.46585,0.43809,0.84086,0.000892,0.000892,0.000892
186,818.974,0.51574,0.46582,0.81543,0.98377,0.98148,0.97712,0.89605,0.44802,0.43724,0.83983,0.0008425,0.0008425,0.0008425
187,822.673,0.54511,0.58494,0.86233,0.98377,0.98148,0.97712,0.89605,0.44802,0.43724,0.83983,0.000793,0.000793,0.000793
188,826.591,0.51098,0.48499,0.81978,0.98488,0.98148,0.97712,0.89455,0.45534,0.43612,0.83991,0.0007435,0.0007435,0.0007435
189,829.811,0.52077,0.50108,0.81543,0.98357,0.98148,0.97712,0.90357,0.45004,0.4364,0.83956,0.000694,0.000694,0.000694
190,833.236,0.49434,0.4901,0.81895,0.98434,0.98148,0.97711,0.90374,0.43974,0.43444,0.83833,0.0006445,0.0006445,0.0006445
191,835.62,0.53886,0.50489,0.84057,0.98434,0.98148,0.97711,0.90374,0.43974,0.43444,0.83833,0.000595,0.000595,0.000595
192,838.886,0.55423,0.51213,0.83596,0.98451,0.98148,0.97716,0.9107,0.44107,0.44238,0.83808,0.0005455,0.0005455,0.0005455
193,841.558,0.53667,0.49057,0.83319,0.98389,0.98148,0.97721,0.9087,0.44747,0.44965,0.83847,0.000496,0.000496,0.000496
194,844.714,0.59779,0.54993,0.88455,0.9825,0.98148,0.97724,0.90702,0.45171,0.45664,0.83927,0.0004465,0.0004465,0.0004465
195,847.778,0.51729,0.47131,0.83838,0.9825,0.98148,0.97724,0.90702,0.45171,0.45664,0.83927,0.000397,0.000397,0.000397
196,851.272,0.55325,0.50331,0.84083,0.9811,0.98148,0.97722,0.90823,0.4535,0.46192,0.83946,0.0003475,0.0003475,0.0003475
197,854.869,0.54519,0.5217,0.8493,0.98149,0.98148,0.97722,0.90913,0.45235,0.459,0.83924,0.000298,0.000298,0.000298
198,857.988,0.52098,0.49529,0.85548,0.98243,0.98148,0.97722,0.9105,0.4533,0.45625,0.83943,0.0002485,0.0002485,0.0002485
199,860.635,0.5229,0.55801,0.85568,0.98243,0.98148,0.97722,0.9105,0.4533,0.45625,0.83943,0.000199,0.000199,0.000199
200,864.151,0.52885,0.51481,0.8282,0.98317,0.98148,0.97723,0.90874,0.45297,0.45304,0.83932,0.0001495,0.0001495,0.0001495
