epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,163.614,0.86132,0.93281,0.89176,0.94685,0.98148,0.9771,0.77373,0.76568,0.81669,0.89299,0.007921,0.007921,0.007921
44,168.192,0.82562,0.87754,0.89043,0.96992,0.9767,0.97967,0.80041,0.76874,0.80496,0.90141,0.0078715,0.0078715,0.0078715
45,172.166,0.86905,0.91228,0.90222,0.94488,0.98148,0.97978,0.82844,0.7342,0.81643,0.88965,0.007822,0.007822,0.007822
46,176.763,0.83459,0.87832,0.86629,0.95222,0.98148,0.9809,0.80222,0.75744,0.77561,0.88815,0.0077725,0.0077725,0.0077725
47,180.046,0.94821,0.88722,0.86306,0.95222,0.98148,0.9809,0.80222,0.75744,0.77561,0.88815,0.007723,0.007723,0.007723
48,184.563,0.92505,0.88283,0.8726,0.96107,0.97925,0.98182,0.81075,0.73856,0.76593,0.88445,0.0076735,0.0076735,0.0076735
49,189.743,0.86721,0.88689,0.88966,0.96531,0.98131,0.98217,0.80668,0.78198,0.78863,0.89129,0.007624,0.007624,0.007624
50,194.55,0.91989,0.90489,0.89855,0.95763,0.97303,0.98384,0.82174,0.70672,0.80161,0.88517,0.0075745,0.0075745,0.0075745
51,198.424,0.8335,0.9134,0.86189,0.95763,0.97303,0.98384,0.82174,0.70672,0.80161,0.88517,0.007525,0.007525,0.007525
52,202.328,0.88938,0.82082,0.88409,0.97273,0.98141,0.98256,0.82805,0.70491,0.74996,0.88527,0.0074755,0.0074755,0.0074755
53,207.22,0.84823,0.82633,0.90309,0.97889,0.9701,0.97899,0.83998,0.65812,0.72361,0.87821,0.007426,0.007426,0.007426
54,211.577,0.82842,0.787,0.86931,0.98282,0.95884,0.97961,0.79751,0.79936,0.72158,0.89438,0.0073765,0.0073765,0.0073765
55,214.784,0.91419,0.86384,0.90012,0.98282,0.95884,0.97961,0.79751,0.79936,0.72158,0.89438,0.007327,0.007327,0.007327
