epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19898,1.38723,4.61318,1.08444,0,0,0,0,1.56797,4.4732,1.01418,0.0955,0.0005,0.0005
2,7.02555,1.07589,4.5186,0.96506,0,0,0,0,1.24881,4.34156,0.93517,0.0900782,0.00107822,0.00107822
3,9.81753,0.97589,4.2848,0.932,0,0,0,0,0.93629,4.28582,0.8864,0.0846327,0.00163268,0.00163268
4,12.6394,0.92614,3.9129,0.9033,0.00025,0.02778,0.00016,5e-05,0.85402,4.23052,0.8723,0.0791634,0.00216338,0.00216338
5,16.2166,0.92047,3.48768,0.8893,0,0,0,0,0.80479,4.09137,0.86704,0.0736703,0.00267032,0.00267032
6,20.2177,1.0046,3.00135,0.88817,0.02063,0.15432,0.13766,0.10679,0.8567,3.80865,0.86505,0.0681535,0.0031535,0.0031535
7,24.1583,1.06185,2.79768,0.88176,0.01636,0.16667,0.15443,0.12504,0.8321,3.50157,0.87307,0.0626129,0.00361292,0.00361292
8,27.7852,1.0611,2.46087,0.8897,0.03956,0.44444,0.21873,0.14847,0.95338,3.42868,0.88587,0.0570486,0.00404858,0.00404858
9,31.2202,1.00872,2.27287,0.90013,0.03525,0.48148,0.22969,0.16688,0.79119,3.29112,0.85655,0.0514605,0.00446048,0.00446048
10,34.8155,1.08139,2.23339,0.89168,0.03684,0.92593,0.4582,0.34698,0.94274,3.00967,0.88248,0.0458486,0.00484862,0.00484862
11,38.7439,1.12894,2.08201,0.92142,0.13112,0.89815,0.50581,0.36492,0.93745,2.81237,0.89369,0.040213,0.005213,0.005213
12,42.9009,1.05362,1.94405,0.89191,0.97427,0.28645,0.55858,0.42379,0.90625,2.57899,0.88061,0.0345536,0.00555362,0.00555362
13,47.7773,1.19867,1.86723,0.94513,0.64703,0.33622,0.61244,0.46332,0.98915,2.3764,0.90801,0.0288705,0.00587048,0.00587048
14,51.8606,1.09044,1.83339,0.91124,0.73249,0.55578,0.7104,0.56519,0.78487,2.3853,0.85981,0.0231636,0.00616358,0.00616358
15,54.6042,0.98072,1.72567,0.88251,0.73249,0.55578,0.7104,0.56519,0.78487,2.3853,0.85981,0.0174329,0.00643292,0.00643292
16,58.3991,1.05912,1.77991,0.90773,0.71616,0.60802,0.7627,0.59747,0.90742,2.11139,0.89556,0.0116785,0.0066785,0.0066785
17,62.3086,1.22628,1.87777,0.97136,0.73708,0.57924,0.86534,0.63515,0.95796,2.23395,0.90624,0.006832,0.006832,0.006832
18,66.2734,1.09022,1.62836,0.92803,0.83908,0.6237,0.8944,0.72966,0.81228,1.89705,0.88638,0.006634,0.006634,0.006634
19,69.2469,1.1293,1.55541,0.90767,0.83908,0.6237,0.8944,0.72966,0.81228,1.89705,0.88638,0.006436,0.006436,0.006436
20,72.8132,1.04251,1.49078,0.9398,0.8251,0.65307,0.93078,0.75423,0.83155,1.84312,0.88749,0.006238,0.006238,0.006238
21,76.5509,1.10646,1.43474,0.91041,0.84551,0.73578,0.9246,0.76275,0.75232,1.69383,0.87684,0.00604,0.00604,0.00604
22,80.4267,1.02846,1.37943,0.91119,0.8631,0.91907,0.96321,0.7454,0.90024,1.39683,0.91279,0.005842,0.005842,0.005842
23,83.4037,0.96466,1.21296,0.90176,0.8631,0.91907,0.96321,0.7454,0.90024,1.39683,0.91279,0.005644,0.005644,0.005644
24,87.1355,0.96045,1.30879,0.88616,0.84756,0.95375,0.96916,0.81285,0.79131,1.31335,0.88729,0.005446,0.005446,0.005446
25,90.6566,0.93121,1.32685,0.88561,0.84134,0.96178,0.97123,0.79883,0.7531,1.38836,0.88527,0.005248,0.005248,0.005248
26,94.3366,0.94857,1.16341,0.88125,0.93629,0.90705,0.95878,0.80624,0.84773,1.25607,0.89929,0.00505,0.00505,0.00505
27,97.5488,0.98069,1.17511,0.91876,0.93629,0.90705,0.95878,0.80624,0.84773,1.25607,0.89929,0.004852,0.004852,0.004852
28,101.989,0.88189,1.09849,0.90085,0.93658,0.98148,0.97709,0.8181,0.75805,1.04358,0.89421,0.004654,0.004654,0.004654
29,106.983,0.90398,1.01079,0.91214,0.93875,0.97838,0.97712,0.81578,0.74814,0.97426,0.88984,0.004456,0.004456,0.004456
30,112.292,0.85242,0.98225,0.87562,0.94048,0.97311,0.97714,0.82943,0.70392,0.84498,0.88516,0.004258,0.004258,0.004258
31,115.396,0.7873,1.00574,0.88099,0.94048,0.97311,0.97714,0.82943,0.70392,0.84498,0.88516,0.00406,0.00406,0.00406
32,120.275,0.74357,0.96109,0.85944,0.96378,0.97024,0.97716,0.84947,0.64158,0.87596,0.87138,0.003862,0.003862,0.003862
33,125.324,0.85028,1.02743,0.88974,0.97215,0.97247,0.97713,0.85461,0.62318,0.85424,0.87497,0.003664,0.003664,0.003664
34,129.683,0.82082,0.97478,0.8901,0.98094,0.96292,0.97714,0.85532,0.639,0.83538,0.86681,0.003466,0.003466,0.003466
35,133.567,0.79546,0.92076,0.86728,0.98094,0.96292,0.97714,0.85532,0.639,0.83538,0.86681,0.003268,0.003268,0.003268
36,138.03,0.66647,1.07412,0.85836,0.98097,0.96691,0.97713,0.84656,0.58382,0.82079,0.86431,0.00307,0.00307,0.00307
37,142.565,0.69385,0.88402,0.85985,0.97695,0.96872,0.97716,0.86101,0.58759,0.7952,0.86227,0.002872,0.002872,0.002872
38,147.981,0.77233,0.90137,0.87115,0.97998,0.97191,0.97713,0.85633,0.57657,0.76909,0.86074,0.002674,0.002674,0.002674
39,151.224,0.72649,0.90039,0.8564,0.97998,0.97191,0.97713,0.85633,0.57657,0.76909,0.86074,0.002476,0.002476,0.002476
40,155.87,0.75992,0.92307,0.87528,0.97909,0.96953,0.97716,0.84704,0.60076,0.75207,0.86278,0.002278,0.002278,0.002278
41,160.615,0.70506,0.89321,0.90895,0.97403,0.96983,0.97715,0.8656,0.55564,0.77333,0.85552,0.00208,0.00208,0.00208
42,164.828,0.62479,0.81259,0.85662,0.98185,0.97082,0.97717,0.86378,0.56797,0.73527,0.85459,0.001882,0.001882,0.001882
